"","X","CITY","STABBR","INSTNM","MAIN","INSTURL","PREDDEG","CONTROL","UGDS","ADM_RATE","SAT_AVG","ACTCMMID","TUITIONFEE_IN","TUITIONFEE_OUT","C150_4","LONGITUDE","LATITUDE"
"1757",1757,"Berea","OH","Baldwin Wallace University",1,"www.bw.edu",3,2,3276,0.6397,1061.44920634921,23.2588331963846,28814,28814,0.6816,-81.849112,41.373938
"1758",1758,"Saint Clairsville","OH","Belmont College",1,"www.belmontcollege.edu",2,1,985,1,1061.44920634921,23.2588331963846,3596,6030,0.510104098765432,-80.964901,40.07695
"1759",1759,"Bluffton","OH","Bluffton University",1,"www.bluffton.edu",3,2,896,0.5603,1029,22,29316,29316,0.5956,-83.897678,40.896998
"1760",1760,"Bowling Green","OH","Bowling Green State University-Main Campus",1,"www.bgsu.edu",3,1,13697,0.5337,1012,22,10726,18034,0.5525,-83.637531,41.377036
"1761",1761,"Columbus","OH","Capital University",1,"www.capital.edu",3,2,2636,0.7274,1100,24,32190,32190,0.5902,-82.937867,39.954875
"1762",1762,"Cleveland","OH","Case Western Reserve University",1,"www.case.edu",3,2,4807,0.3831,1375,31,43158,43158,0.8113,-81.605769,41.500812
"1763",1763,"Cedarville","OH","Cedarville University",1,"www.cedarville.edu",3,2,3082,0.7449,1187,26,26420,26420,0.7025,-83.812098,39.750338
"1764",1764,"Newark","OH","Central Ohio Technical College",1,"www.cotc.edu",2,1,3068,1,1061.44920634921,23.2588331963846,4296,7056,0.510104098765432,-82.447441,40.069314
"1765",1765,"Wilberforce","OH","Central State University",1,"www.centralstate.edu",3,1,1728,0.3772,804,17,6246,13928,0.2229,-83.876795,39.716465
"1766",1766,"Saint Martin","OH","Chatfield College",1,"www.chatfield.edu",2,2,318,1,1061.44920634921,23.2588331963846,9370,9370,0.510104098765432,-83.887153,39.210369
"1767",1767,"Cincinnati","OH","The Christ College of Nursing and Health Sciences",1,"www.thechristcollege.edu",2,2,712,0.7568,947,20,20031,20031,0.7857,-84.509237,39.12072
"1768",1768,"Cincinnati","OH","Cincinnati Christian University",1,"www.CCUniversity.edu",3,2,602,0.5851,969,21,15266,15266,0.3583,-84.554752,39.112396
"1769",1769,"Cincinnati","OH","Cincinnati College of Mortuary Science",1,"WWW.CCMS.EDU",2,2,85,1,1061.44920634921,23.2588331963846,24703.6852264291,17349.8388367161,0.7333,-84.505896,39.207578
